"ID","Kingdom","Phylum","Class","Order","Family","Genus","Species","mean","Label"
"ASV_31","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Enterocloster","Unassigned",228.5,"ASV_31"
"ASV_251","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Unassigned","Unassigned",40.4166666666667,"ASV_251"
"ASV_293","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Unassigned",39.75,"ASV_293"
"ASV_205","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira","Unassigned",39.4166666666667,"ASV_205"
"ASV_49","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Kineothrix","Unassigned",129.583333333333,"ASV_49"
"ASV_122","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerotaenia","Unassigned",84.4166666666667,"ASV_122"
"ASV_210","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Unassigned",73.75,"ASV_210"
"ASV_1368","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Unassigned",52.0833333333333,"ASV_1368"
"ASV_451","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Mediterraneibacter","Unassigned",35.1666666666667,"ASV_451"
"ASV_29","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Enterocloster","Unassigned",381.833333333333,"ASV_29"
"ASV_20","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lacrimispora","Unassigned",358.75,"ASV_20"
"ASV_218","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unassigned","Unassigned",136,"ASV_218"
"ASV_570","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unassigned","Unassigned",62.9166666666667,"ASV_570"
"ASV_289","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Kineothrix","Unassigned",38.3333333333333,"ASV_289"
"ASV_28","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Kineothrix","Unassigned",304.5,"ASV_28"
"ASV_230","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetatifactor","Unassigned",36.75,"ASV_230"
"ASV_228","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetatifactor","Unassigned",35.4166666666667,"ASV_228"
"ASV_48","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella","Unassigned",55.6666666666667,"ASV_48"
"ASV_223","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Unassigned","Unassigned",46.3333333333333,"ASV_223"
"ASV_212","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Flintibacter","Unassigned",43.0833333333333,"ASV_212"
"ASV_583","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Clostridium_IV","Unassigned",42.5833333333333,"ASV_583"
"ASV_111","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Flintibacter","Unassigned",98.9166666666667,"ASV_111"
"ASV_211","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Lawsonibacter","Unassigned",45.8333333333333,"ASV_211"
"ASV_196","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVa","Unassigned",38.4166666666667,"ASV_196"
"ASV_201","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lacrimispora","Unassigned",40.4166666666667,"ASV_201"
"ASV_12","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unassigned","Unassigned",567.416666666667,"ASV_12"
